num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Ponto Final Geada,-22.54534799380873,-47.45448054085058,3.6146340884822084
2,Rua Elza Hergert Marostegan,-22.5455191,-47.4510187,3.3021061124465114
3,"Avenida Prefeito Ari Levi Pereira, 368-408",-22.5478836,-47.4466749,2.7850217101052333
4,"Avenida Canadá, 456-504",-22.5494826,-47.4477504,2.7861671008105993
5,"Avenida Estados Unidos Da América, 52-100",-22.5513069,-47.4530683,3.1937077071234845
6,"Rua Capitão Joaquim Manoel Pereira, 333-373",-22.5574611,-47.4453126,2.2279330614051465
7,"Avenida Doutor João Amaral Gama, 575-633",-22.5579647,-47.4408711,1.770624088077481
8,"Avenida Doutor João Amaral Gama, 391 (Rapidão)",-22.558555444439218,-47.442630355315096,1.9330192913414068
9,"Rua Júlio Wenzel, 641-655",-22.5627943,-47.4389524,1.5226068170753027
10,"Rua Professor Rui Côrte Brilho, 816-880",-22.561134208423862,-47.43595336973164,1.2136549843403797
11,"Rua Oscár Vargas, 17-87",-22.5613776,-47.4359337,1.2100893135725286
12,"Rua Oswaldo Bertolini, 505",-22.5609501,-47.4286249,0.468614156185795
13,"Praça Primeiro De Maio, 112-146",-22.5574162,-47.4298291,0.7630128768455741
14,"Avenida Cônego Manoel Alves, 775",-22.5476247,-47.4496221,3.0562500155122945
15,"Norte Avenida Doutor Fabrício Vampré, 975-991",-22.559066875118823,-47.4229054440875,0.33833909543360796
16,"Norte Avenida Doutor Fabrício Vampré, 685",-22.558620803921194,-47.42013176091486,0.551316103912102
17,"Norte Avenida Doutor Fabrício Vampré, 131-181",-22.560728231386136,-47.41555660069769,0.8961798259273609
18,"Rua Capitão Francisco Sérgio De Toledo, 145-207",-22.558197007552785,-47.412828403187596,1.236912708607623
19,Nosso Clube,-22.558720436605455,-47.409808033403905,1.5191859380843056
20,Medical B/C,-22.5589578,-47.40714300236351,1.7820556955928961
21,Medical B/C,-22.5589578,-47.40714300236351,1.7820556955928961
22,"Rua Barão De Campinas, 1027",-22.5650934,-47.3985764,2.657278214505078
23,Escola Brasil - Praça José Bonifácio B/C,-22.561011950736074,-47.40396744752847,2.08119559459538
24,"Rua Barão De Campinas, 301",-22.5650934,-47.3985764,2.657278214505078
25,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
26,Supermercado Covabra,-22.569306949999998,-47.39910528406256,2.7068160034620576
27,Inss,-22.569341176363963,-47.400102804456175,2.6104517132659586
28,"Rua Presidente Prudente, 402-492",-22.5686189,-47.3989788,2.6971620038188853
29,"Rua Presidente Prudente, 568-584",-22.5686189,-47.3989788,2.6971620038188853
30,"Rua Piauí, 426-472",-22.5720145,-47.4071439,2.0805912339456247
31,"Rua Professora Ceci Barbosa Neves Estéfano, 324-398",-22.5741447,-47.3953501,3.2612231778858933
32,"Avenida Campinas, 1152  (Rapidão)",-22.577078622765704,-47.39148226761585,3.760375343664644
33,"Avenida Campinas, 1322-1374",-22.5714202,-47.3966768,3.0194210883612667
34,"Avenida Campinas, 1490",-22.5714202,-47.3966768,3.0194210883612667
35,"Avenida Campinas, 1760",-22.5886209,-47.3832494,5.14644541908274
36,"Avenida Marechal Artur Da Costa E Silva, 111",-22.581854394170282,-47.38515237650475,4.582753268712785
37,"Rua Pedro Elías, 214",-22.5810766,-47.3854296,4.516647618967294
38,"Rua Pedro Elías, 546  (Rapidão)",-22.579961253882317,-47.381879508771206,4.788932386989074
39,"Rua Pedro Elías, 966",-22.5810766,-47.3854296,4.516647618967294
40,"Rua Pedro Elías, 1282",-22.5809995,-47.3855864,4.498402077442441
41,"Rua Antônio Henrique De Araújo, 2-108",-22.5773861,-47.3727344,5.562536050907629
42,"Rua José Bento Da Glória, 1345",-22.5831615,-47.3700616,6.043992739648469
43,"Rua José Bento Da Glória, 679-827",-22.5831615,-47.3700616,6.043992739648469
44,"Rua Professor Fariz Elías, 199",-22.5813132,-47.3780115,5.212958459840442
45,Ponto Final Olga Veroni,-22.581196104338872,-47.36869089689841,6.094345244761948
