num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Terminal Parque Hipolito,-22.566720476594224,-47.37013678604166,5.584104086299387
2,"Avenida Higino De Barros Camargo, 421",-22.5682983,-47.3723473,5.37809780381267
3,"Avenida Higino De Barros Camargo, 343",-22.5682983,-47.3723473,5.37809780381267
4,"Rua Doutor Ademar Pereira De Barros, 1119",-22.5763309,-47.3720528,5.594744846673886
5,"Rua Doutor Ademar Pereira De Barros, 697-765  (Rapidão)",-22.571487264811793,-47.37422361108311,5.246858374767163
6,"Rua Marechal Deodoro Da Fonseca, 2-64",-22.5730472,-47.3739133,5.315587350518412
7,"Rua Doná Maria Angélica Vergueiro, 27-63",-22.5747621,-47.3749083,5.264328900422591
8,"Avenida Arlinda Abreu Ribeiro, 725",-22.5756283,-47.3750283,5.27928733722998
9,"Via Luís Varga, 6538-6760",-22.5562967,-47.3822,4.36192244050022
10,"Via Luís Varga, 6856-6918  (Rapidão)",-22.57824643615471,-47.37719895074995,5.160417740047731
11,"Rua Pedro Elías, 985",-22.5810766,-47.3854296,4.516647618967294
12,Rua Pedro Elías 765  (Rapidão),-22.57943279150629,-47.37989197064324,4.95210587158456
13,Rua Pedro Elías 559,-22.5810766,-47.3854296,4.516647618967294
14,"Rua João D'Adona, 240-298",-22.5688279,-47.3832388,4.280446781211126
15,"Rua João D'Adona, 528",-22.5688279,-47.3832388,4.280446781211126
16,"Rua João D'Adona, 742-768",-22.5688279,-47.3832388,4.280446781211126
17,"Rua Diamantino Machado Gomes, 387",-22.571732,-47.3852291,4.1518629940699086
18,"Rua João Batistela, 342  (Rapidão)",-22.571785091439367,-47.385454602742634,4.131045649537407
19,"Rua Vereador Samuel Berto, 1025-1099  (Rapidão)",-22.569092195869104,-47.38762607733455,3.843392210363695
20,"Avenida Assis Brasil, 589  (Rapidão)",-22.567286552250078,-47.39053815860938,3.5114474746808724
21,"Avenida Assis Brasil, 423-499  (Rapidão)",-22.56757517802494,-47.39213506719198,3.3555801566267327
22,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
23,Museu Major José Levy Sobrinho,-22.565482060847764,-47.40206587155135,2.309149903218527
24,"Rua Tiradentes, 1024",-22.5651746,-47.4009767,2.4141947224607097
25,"Rua Tiradentes, 1234",-22.5651746,-47.4009767,2.4141947224607097
26,Praça A. Mesquita,-23.540662,-46.642534,134.78176482192754
27,"Avenida Doutor Lauro Corrêa Da Silva, 2032-2100",-22.5773004,-47.4082025,2.369628947567649
28,"Rua Baía, 278-364",-22.579164906361118,-47.40570176534706,2.6970609352457853
29,"Rua Baía, 538",-22.579405279348784,-47.40317015821637,2.90415496649034
30,"Rua Baía, 688",-22.579555003875733,-47.40191103656098,3.01249366514204
31,"Avenida Antonio Ometto, 844-900",-22.5789005,-47.4004927,3.0799620295306047
32,"Avenida Antonio Ometto, 1342-1348",-22.5789005,-47.4004927,3.0799620295306047
33,"Rua João Machado Gomes Júnior, 1420",-22.5737642,-47.4005312,2.7653069598388664
34,"Rua Luís Pântano, 300",-22.5932864,-47.3985738,4.362105275428121
35,"Rua Luís Pântano, 506",-22.5932864,-47.3985738,4.362105275428121
36,"Rua Luís Pântano, 656-700",-22.5877395,-47.3997839,3.8070208834899386
37,"Rua Luís Pântano, 1014",-22.5932864,-47.3985738,4.362105275428121
38,"Rua Rosália Schimidt De Camargo Aranha, 316-376",-22.5960206,-47.3874151,5.346584096287109
39,"Rua Rosália Schimidt De Camargo Aranha, 369-421",-22.5960206,-47.3874151,5.346584096287109
40,"Rua Lourival Berg, 119",-22.5963746,-47.3870836,5.398406929403177
41,"Rua José Deon, 243-299",-22.5949687,-47.3884147,5.191547766928873
42,"Rua Dário Roland, 927-1017",-22.5978962,-47.3992397,4.741601491719803
43,Ponto Final Santina,-22.599632477316757,-47.39342939065967,5.241690501695069
