num_ponto,ponto,latitude,longitude,distancia_unicamp
1,"Avenida Jaime Cheque, 962-1000",-22.5640368,-47.4520294,2.874129459669936
2,"Avenida Jaime Cheque, 1088-1116",-22.5640368,-47.4520294,2.874129459669936
3,"Avenida Carlos Zaccaria, 1414",-22.5648875,-47.4516025,2.8398574586631695
4,"Avenida Prefeito Ari Levi Pereira, 2464-2514",-22.5487951,-47.4451105,2.5951620359946572
5,"Avenida Frei João Das Mercês, 737-1325",-22.5654987,-47.4426604,1.942322064625787
6,"Avenida Frei João Das Mercês, 575",-22.5657435,-47.4439323,2.075912729046526
7,"Rua Alderico Wissel Barbosa, 43",-22.5667411,-47.4465622,2.3639200340250035
8,"Avenida Frei João Das Mercês, 59",-22.5657435,-47.4439323,2.075912729046526
9,"Avenida Carlos Zaccaria, 1-39",-22.5648874,-47.4436683,2.0316978244267063
10,"Rua Professor Rui Côrte Brilho, 180-260",-22.565706782726892,-47.438840529780876,1.5660634707711412
11,"Rua Professor Rui Côrte Brilho, 816-880",-22.561352178130917,-47.43596459977636,1.213397268871484
12,"Rua Oscár Vargas, 17-87",-22.5613776,-47.4359337,1.2100893135725286
13,"Rua Oswaldo Bertolini, 505",-22.5609501,-47.4286249,0.468614156185795
14,"Praça Primeiro De Maio, 112-146",-22.5574162,-47.4298291,0.7630128768455741
15,"Avenida Cônego Manoel Alves, 775",-22.5476247,-47.4496221,3.0562500155122945
16,"Avenida Cônego Manoel Alves, 507",-22.5476247,-47.4496221,3.0562500155122945
17,"Avenida Cônego Manoel Alves, 92-158",-22.5480004,-47.4507415,3.134776584869643
18,"Rodovia Limeira-Piracicaba, 1-269",-22.5720496,-47.4451813,2.435632462308019
19,"Rua Farmaceutico Jacob Fanelli, 426-478",-22.5621516,-47.4143673,1.0097586897407114
20,Rua Prefeito Doutor Alberto Ferreira,-22.5701942,-47.4108347,1.652599730514214
21,"Rua Prefeito Doutor Alberto Ferreira, 434",-22.5701942,-47.4108347,1.652599730514214
22,Rua Carlos Gomes 1321-1385,-22.5670351,-47.4044543,2.1075279136171754
23,"Rua Carlos Gomes, 989",-22.5670351,-47.4044543,2.1075279136171754
24,Museu Major José Levy Sobrinho B/C (Rapidão),-22.565484879341504,-47.40211036070088,2.3046970006161027
25,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
26,Quadra Da União,-22.56149859301894,-47.396966160724496,2.799364667560579
27,"Rua Augusto Jorge, 334-440",-22.5596529,-47.3930447,3.211896385536598
28,Qualicytrus,-22.559117337095966,-47.38976799480118,3.5526343158559652
29,"Avenida Major José Levi Sobrinho, 1590",-22.5581274,-47.3858516,3.964106395406259
30,"Avenida Major José Levi Sobrinho, 2198",-22.5551189,-47.3807553,4.528816978461274
31,"Avenida Doutor Hipólito Pinto Ribeiro, 100",-22.5576152,-47.3703737,5.554312947147592
32,"Avenida Doutor Hipólito Pinto Ribeiro, 334-364",-22.5576152,-47.3703737,5.554312947147592
33,"Avenida Doutor Hipólito Pinto Ribeiro, 774-776",-22.5576152,-47.3703737,5.554312947147592
34,"Rua General Rondon, 3364-3574",-22.5576152,-47.3703737,5.554312947147592
35,"Avenida Doutor Hipólito Pinto Ribeiro, 773-775",-22.5576152,-47.3703737,5.554312947147592
36,"Avenida Doutor Hipólito Pinto Ribeiro, 623-625",-22.5576152,-47.3703737,5.554312947147592
37,"Avenida Doutor Hipólito Pinto Ribeiro, 323-361",-22.5576152,-47.3703737,5.554312947147592
38,"Sp-147, 2500",-22.6671697,-47.5372769,16.466298841422386
39,"Avenida Major José Levi Sobrinho, 6776-6786",-22.5534028,-47.3798729,4.652979425220826
40,"Rua Luís Pessoto, 385-441",-22.5451971,-47.3662014,6.243268748424658
41,"Rua Luís Pessoto, 151-263",-22.5451971,-47.3662014,6.243268748424658
42,"Avenida David Dos Santos, 562",-22.5507315,-47.372156,5.491637982528643
43,Nova Limeira,-22.5697001,-47.3865623,3.964622061278816
