imob,codigo,bairro,aluguel,condominio,area,quartos,banheiros,vaga_garagem,descricao,total,preco_m2,dist_unicamp
C,57544d6162644c4cec89720f0d0fb27b,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM O QUARTO
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
PISO CERÂMICO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,00f33a85f39b78148f5941eac174acd2,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO  COM ARMARIO E AR CONDICIONADO
1       SALA CONJUGADA COM QUARTO
1       COZINHA COM ARMARIO, GELADEIRA E FOGÃO COOKTOP
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,b62fad32adf34709c628e9833d66b8df,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMÁRIO
1       SALA COM RACK E AR CONDICIONADO
JARDIM DE INVERNO
1       COZINHA PLANEJADA COM GELADEIRA E FOGÃO COOKTOP
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,2d7097bf091516c6952950802bd49019,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO  COM ARMÁRIO
1       SALA
1       COZINHA COM ARMÁRIO E GELADEIRA
1       BANHEIRO
PISO CERÂMICO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,12d0456fa8a537ce311abb5ea43c4b03,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM QUARTO
1       COZINHA COM ARMARIO, FOGÃO COOKTOP E GELADEIRA
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,660f29bab4766650b9e3e62aae4f6730,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,"Kitinet próximo à Unicamp (FCA) sendo 01 quarto e cozinha conjugados, banheiro e área de serviço. O imóvel  possui: geladeira, cama, colchão, cortina black out, fogão, armário e conta também com cerca elétrica, interfone, cameras de monitoramento além de ter incluso em seu aluguel as despesas de água, energia e iptu.
1       QUARTO CONJUGADO
1       COZINHA CONJUGADO
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE",850.0,,1.3854276880650611
C,eccf80daef9939671bc11ac471171654,JD. Cidade Universitária I,1000.0,0.0,,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM O QUARTO
1       COZINHA COM ARMARIO
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE",1000.0,,1.3854276880650611
C,0236a38d5e4d324ecebfb8c807b7f238,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM QUARTO
1       COZINHA COM ARMARIO
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,72d0a25bdc4aa78facc3b05f3b7dc2b9,JD. Cidade Universitária I,1000.0,0.0,,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
1       QUARTO CONJUGADO COM A SALA
1       SALA
1       COZINHA
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE",1000.0,,1.3854276880650611
C,adaf6dba40a3695184eea6bad00e96bf,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM QUARTO
1       COZINHA COM ARMARIO
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,8621c612207ad3dbf1da43a0c56d6116,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM GUARDA ROUPA
1       SALA CONJUGADO
1       COZINHA COM ARMÁRIO, GELADEIRA E  FOGÃO COOKTOP
1       BANHEIRO
1       LAVANDERIA
QUINTAL
PISO PORCELANATO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,17e432c6fd9c0be3a2cbf043f3bd8387,JD. Cidade Universitária I,750.0,0.0,,1,1,0.0,"Kitinet localizada na Cidade Universitária próximo a Unicamp (FCA) contendo 01 quarto e cozinha conjugados, banheiro e lavanderia, imóvel também possui cama e micro-ondas.
1       QUARTO CONJUGADO COM COZINHA
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE E GESSO",750.0,,1.3854276880650611
C,2730887bcbe5319d9e3efaa18e0023cc,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próximo à Unicamp (FCA) sendo quarto e sala conjugados, cozinha e área de serviço conjugados e banheiro. Este imóvel também possui: guarda-roupas, geladeira, fogão, armários e ar condicionado.
35      M2
1       QUARTO COM ARMARIO E AR CONDICIONADO
1       SALA CONJUGADA
1       COZINHA COM ARMARIO CONJUGADA
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,a264ee68837c839ccf3a90ee71c91b41,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO E AR CONDICIONADO
1       SALA CONJUGADA
1       COZINHA CONJUGADA E COM ARMARIO
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,3a6973c5d2b2a8726c531a1693ea2ac1,JD. Cidade Universitária I,1000.0,0.0,,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.

35      M2
1       QUARTO COM ARMáRIO E AR CONDICIONADO
1       SALA CONJUGADA
1       COZINHA COM ARMARIO E CONJUGADA
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE",1000.0,,1.3854276880650611
C,7500856834d96bce86e5e6343d8ef15f,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMÁRIO E AR CONDICIONADO
1       SALA CONJUGADA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,7de4e6131938592e7ad6673ca646092f,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO E SALA CONJUGADOS
1       COZINHA E AREA DE SERVIÇO CONJUGADOS
1       BANHEIRO
PISO CERÂMICO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
C,d41f3ff29acc315dd5302d634301606b,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próximo à Unicamp (FCA) sendo quarto e sala conjugados, cozinha e área de serviço conjugados e banheiro. Este imóvel também possui: guarda-roupas, geladeira, fogão, armários e ar condicionado.
35      M2
1       QUARTO COM ARMARIO E AR CONDICIONADO
1       SALA CONJUGADA
1       COZINHA PLANEJADA
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICIO
TETO LAJE",1000.0,28.571428571428573,1.3854276880650611
