index,imob,codigo,bairro,aluguel,condominio,area,quartos,banheiros,vaga_garagem,descricao,tipo_imov,total,preco_m2,dist_unicamp
0,C,47a266070612202510b1dda757bd03e1,Chácara Antonieta,1000.0,250.33,70.0,2,1,0.0,"Apartamento no bairro Chacara Antonieta contendo 02 dormitórios, sala com sacasa, cozinha banheiro, lavanderia e vaga para 01 carro.
70      M2
TERREO ANDAR TERREO
2       QUARTOS
1       SALA COM SACADA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE",apto,1250.33,17.861857142857144,1.5023394363777396
4,C,4cc7d4741c002710a0ec42f1a3a6443e,Chácara Antonieta,950.0,322.25,74.0,2,1,0.0,"Apartamento localizado no 2º andar do condomínio Spazio Firenze com 02 dormitórios, sala, cozinha planejada, banheiro, lavanderia com armário e 01 vaga para carro, além da ótima localização o condomínio conta também com piscina, salão de festas e academia.
74      M2
2º      ANDAR
2       QUARTOS
1       SALA
1       COZINHA PLANEJADA
1       BANHEIRO
1       LAVANDERIA COM ARMÁRIO
1       ÁREA DE SERVIÇO
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE

PISCINA
ACADEMIA
SALÃO DE FESTAS C/CHURRASQUEIRA",apto,1272.25,17.19256756756757,1.5023394363777396
5,C,5513e1e736b58cf17409e13028348540,JD. Cidade Universitária I,1050.0,200.0,69.0,2,1,0.0,"Este apartamento de 69m² fica localizado na Cidade Universitária, pertinho da Univamp (FCA) e conta com 02 dormitórios, sala com sacada, cozinha com lavanderia integrada, banheiro e vaga para 01 carro.
69      M2
1º      ANDAR
2       QUARTOS
1       SALA COM SACADA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERAMICO
TETO LAJE",apto,1250.0,18.115942028985508,1.3854276880650611
6,C,1abe6d2fdcdf8f5c16ba9c9e6e4ea74d,JD. Cidade Universitária I,1000.0,200.0,69.0,2,1,0.0,"Este apartamento de 69m² fica localizado na Cidade Universitária, pertinho da Univamp (FCA) e conta com 02 dormitórios, sala com sacada, cozinha com lavanderia integrada, banheiro e vaga para 01 carro.
69      M2
2       QUARTOS
1       SALA COM SACADA
1       COZINHA COM LAVANDERIA INTEGRADA
1       BANHEIRO
1       VAGA PARA CARRO
PISO CERAMICO
TETO LAJE",apto,1200.0,17.391304347826086,1.3854276880650611
7,C,c69c62dc38d0ae6e4c52a0cc96b78b10,Chácara Antonieta,1100.0,306.67,65.0,2,1,0.0,"Apartamento localizado no 1º andar do Residencial Mosaico, contendo 02 dormitórios, sala com sacada, cozinha com armário, lavanderia integrada, banheiro e 01 vaga para carro, além da área de lazer com piscina e salão de festas.
65      M2
1º      ANDAR
2       QUARTOS
1       SALA COM SACADA
1       COZINHA COM ARMÁRIO
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERAMICO
TETO LAJE
SALÃO DE FESTAS
PISCINA",apto,1406.67,21.641076923076923,1.5023394363777396
8,C,b0adae4841fa14e7ecc1e27b2444c755,JD. Cidade Universitária I,900.0,150.0,,2,1,0.0,"02 quartos, sala com sacada, cozinha com gabinete, banheiro com box e gabinete e lavanderia

63      M2
2       QUARTOS
1       SALA COM SACADA
1       COZINHA
1       BANHEIRO COM BOX
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE",apto,1050.0,,1.3854276880650611
9,C,9015ae8f5752ae92b423e96edb96ae3b,Chácara Antonieta,950.0,308.91,,2,1,0.0,"Apartamento localizado no bairro Chácara Antonieta contendo 02 quartos, sala, cozinha, banheiro, lavanderia e vaga para 01 carro.
1º      ANDAR
65      M2
2       QUARTOS
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE",apto,1258.91,,1.5023394363777396
10,C,86c18820df4da82695848d604931f67c,JD. Cidade Universitária I,2100.0,92.5,80.0,2,1,0.0,"Lindo apartamento localizado na Cidade Universitária, em frente à portaria da Unicamp (FCA), contendo 02 dormitórios com armários e ar condicionado, sendo 01 deles uma bela suíte, sala ampla com painel, cozinha com armários, geladeira, cooktop e microondas, banheiro, quintal e garagem para 01 carro.Além da praticidade para o estudante, este apartamento também oferece conforto e segurança com cerca elétrica, portão eletronico e câmeras de monitoramento.
80      M2
1       QUARTO COM ARMÁRIO E AR CONDICIONADO
1       SUÍTE COM ARMÁRIO E AR CONDICIONADO
1       SALA COM PAINEL
1       COZINHA COM ARMÁRIO
1       BANHEIRO COM GABINETE
1       LAVANDERIA
QUINTAL
1       VAGA COBERTA PARA CARRO COM PORTÃO ELETRONICO
PISO PORCELANATO
TETO LAJE",apto,2192.5,27.40625,1.3854276880650611
11,C,d9e663c56f2d264d377c6a8708a84cdb,JD. Cidade Universitária I,900.0,203.0,63.0,2,1,0.0,"Apartamento localizado na Cidade Universitária, próximo à Faculdade Unicamp (FCA) contendo 02 dormitórios, sala com sacada, cozinha, banheiro com box, lavanderia e vaga para 01 carro.
63      M2
2       QUARTOS
1       SALA COM SACADA
1       COZINHA
1       BANHEIRO COM BOX
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE",apto,1103.0,17.50793650793651,1.3854276880650611
12,C,31448937611355ff67e8c5f66e788a18,Chácara Antonieta,1300.0,312.99,66.0,3,1,0.0,"Ótimo apartamento terreo localizado no Chacara Antonieta contendo 03 quartos sendo um deles suíte, sala, cozinha, banheiro social, área de serviço, quintal e garagem para 01 carro. Acabamento em piso cerâmico e laje
66      M2
TERREO ANDAR TÉRREO
2       QUARTOS
1       SUÍTE
1       SALA
1       COZINHA
1       BANHEIRO
VARANDA
1       ÁREA DE SERVIÇO
1       VAGA PARA CARRO
PISO CERAMICO
TETO LAJE
ÁREA GOURMET COM CHURRASQUEIRA
BRINQUEDOTECA
PISCINA
SALÃO DE FESTA
ACADEMIA
PLAYGROUND",apto,1612.99,24.439242424242423,1.5023394363777396
15,C,cffb4c0db870be56a7f32d2186892fdc,Chácara Antonieta,2500.0,385.23,98.0,2,1,0.0,"Lindo apartamento localizado no Chacara Antonieta contendo 02 quartos com armários, ventiladores e TV, sala com móveis planejados e sacada, cozinha planejada com geladeira, fogão, forno e exaustor, banheiro social e lavanderia com armário e máquina de lavar. Acabamento em piso cerâmico e laje e vaga na garagem para 01 carro. Tudo isso em um condomínio completo e excelente.
98      M2
14º     ANDAR
2       QUARTOS COM ARMÁRIOS
1       SALA COM MÓVEIS PLANEJADOS
1       COZINHA PLANEJADA COM GELADEIRA, FOGÃO, FORNO E EXAUSTOR
1       BANHEIRO SOCIAL
1       LAVANDERIA COM ARMÁRIO
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE
ÁREA GOURMET COM CHURRASQUEIRA
BRINQUEDOTECA
PISCINA
SALÃO DE FESTA
ACADEMIA
PLAYGROUND",apto,2885.23,29.44112244897959,1.5023394363777396
16,C,57544d6162644c4cec89720f0d0fb27b,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM O QUARTO
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
PISO CERÂMICO
TETO LAJE",kitnet,1000.0,28.571428571428573,1.3854276880650611
17,C,b62fad32adf34709c628e9833d66b8df,JD. Cidade Universitária I,1000.0,0.0,35.0,1,1,0.0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMÁRIO
1       SALA COM RACK E AR CONDICIONADO
JARDIM DE INVERNO
1       COZINHA PLANEJADA COM GELADEIRA E FOGÃO COOKTOP
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE",kitnet,1000.0,28.571428571428573,1.3854276880650611
