index,imob,codigo,bairro,aluguel,condominio,area,quartos,banheiros,vaga_garagem,descricao,total,preco_m2,dist_unicamp
5,C,660f29bab4766650b9e3e62aae4f6730,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,"Kitinet próximo à Unicamp (FCA) sendo 01 quarto e cozinha conjugados, banheiro e área de serviço. O imóvel  possui: geladeira, cama, colchão, cortina black out, fogão, armário e conta também com cerca elétrica, interfone, cameras de monitoramento além de ter incluso em seu aluguel as despesas de água, energia e iptu.
1       QUARTO CONJUGADO
1       COZINHA CONJUGADO
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE",850.0,,1.3854276880650611
10,C,17e432c6fd9c0be3a2cbf043f3bd8387,JD. Cidade Universitária I,750.0,0.0,,1,1,0.0,"Kitinet localizada na Cidade Universitária próximo a Unicamp (FCA) contendo 01 quarto e cozinha conjugados, banheiro e lavanderia, imóvel também possui cama e micro-ondas.
1       QUARTO CONJUGADO COM COZINHA
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE E GESSO",750.0,,1.3854276880650611
27,C,3373dddda5f9ac40a77e24c56637bf1c,JD. Cidade Universitária I,800.0,0.0,,1,1,0.0,"kitinet com ótima localização na Cidade universitária, contendo 01 quarto, cozinha e lavanderia conjugada e banheiro.
1       QUARTO
1       COZINHA
1       BANHEIRO
1       LAVANDERIA CONJUGADA
PISO CERÂMICO
TETO LAJE",800.0,,1.3854276880650611
28,C,d9b2196d1832bd89cf68e3cf348b57ff,JD. Cidade Universitária I,700.0,0.0,,1,1,0.0,"Kitinet lcalizada no Cidade Universitária próximo a Unicamp contendo quarto e sala conjugados, cozinha com fogão cooktop e microondas, banheiro social com gabinete e box e lavanderia de uso coletivo. Acabamento em piso cerâmico e laje.
1º      ANDAR
30      M2
1       QUARTO CONJUGADO
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA COLETIVA
PISO CERÂMICO
TETO LAJE",700.0,,1.3854276880650611
29,C,2666412f384c5ca7b49e8fcf544011db,JD. Cidade Universitária I,700.0,0.0,,1,1,0.0,"Kitinet lcalizada no Cidade Universitária próximo a Unicamp contendo quarto e sala conjugados, cozinha com fogão cooktop, banheiro social com gabinete e box e lavanderia de uso coletivo. Acabamento em piso cerâmico e laje.
TERREO ANDAR TERREO
30      M2
1       QUARTO CONJUGADO
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA COLETIVA
PISO CERÂMICO
TETO LAJE",700.0,,1.3854276880650611
54,B,3efb8f5900d5b5dff557d6857681338a,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,Kitnet localizada na Cidade Universitária próximo a Unicamp.,850.0,,1.3854276880650611
55,B,d1f942def322fc204b6be20838e7d044,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,Kitnet localizada na Cidade Universitária próximo a Unicamp.,850.0,,1.3854276880650611
56,B,97bcff626e416e4682240b08bfe240e9,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,"Kitnet no bairro Universitário, próximo a Unicamp.",850.0,,1.3854276880650611
57,B,c3ff9f70c3bdd79c59d6a641c3d2eabc,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,Kitnet localizada na Cidade Universitária próximo a Unicamp.,850.0,,1.3854276880650611
58,B,ccbc8c34f1aafff2ded08a18d8826c6f,JD. Cidade Universitária I,800.0,0.0,250.0,1,1,0.0,"Ótimo apartamento na Cidade Universitária com um dormitório com armários, banheiro social com gabinete e box de blindex, sala, cozinha com armários, geladeira, microondas, cooktop e área de serviço comum.  O locatário ficará isento do consumo de água até 10 m³ mensal e faxina semanal na área comum.",800.0,3.2,1.3854276880650611
