num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Museu Major José Levy Sobrinho,-22.565482060847764,-47.40206587155135,2.309149903218527
2,"Rua Tiradentes, 1024",-22.5651746,-47.4009767,2.4141947224607097
3,"Rua Tiradentes, 1234",-22.5651746,-47.4009767,2.4141947224607097
4,Praça A. Mesquita,-23.540662,-46.642534,134.78176482192754
5,"Avenida Doutor Lauro Corrêa Da Silva, 2032-2100",-22.5773004,-47.4082025,2.369628947567649
6,"Rua Baía, 278-364",-22.579164906361118,-47.40570176534706,2.6970609352457853
7,"Rua Baía, 538",-22.579405279348784,-47.40317015821637,2.90415496649034
8,"Rua Baía, 688",-22.579555003875733,-47.40191103656098,3.01249366514204
9,"Avenida Antonio Ometto, 844-900",-22.5789005,-47.4004927,3.0799620295306047
10,"Avenida Antonio Ometto, 1342-1348",-22.5789005,-47.4004927,3.0799620295306047
11,"Rua João Machado Gomes Júnior, 1420",-22.5737642,-47.4005312,2.7653069598388664
12,Clube Do Galo,-22.58589836261789,-47.40182860200851,3.5151859558081977
13,Vila Antônio Cruãnes Filho,-22.585296466835988,-47.397252277842234,3.793643184099161
14,"Avenida Doutor Lauro Corrêa Da Silva, 3454-3650",-22.5773004,-47.4082025,2.369628947567649
15,"Avenida Doutor Lauro Corrêa Da Silva, 4102-4250",-22.6221325,-47.4270377,6.678369123174393
16,"Avenida Doutor Lauro Corrêa Da Silva, 2-42",-22.6149254,-47.4245991,5.8739573074658695
17,"Avenida Doutor Antônio De Luna, 1600-1760",-22.6147586,-47.4125893,5.9754203548734575
18,"Rua Lauro Camargo Silveira, 68-130",-22.601289669776346,-47.41869360900967,4.400130572114385
19,"Rua Lauro Camargo Silveira, 198-260",-22.602809181346263,-47.41773512322814,4.580282851800041
20,"Rua Lauro Camargo Silveira, 460-524",-22.603938966611768,-47.41729637486011,4.710680313051332
21,"Rua Lauro Camargo Silveira, 723-787",-22.605761498259362,-47.4164063545446,4.924334188410082
22,"Rua Adílson Edgar Amigo, 707",-22.6097394,-47.4128193,5.4267670439774625
23,"Rua Lauro Camargo Silveira, 1294-1338",-22.612292241045356,-47.41464178064791,5.667735877117567
24,Ponto Final Odecio Degan,-22.61348469322839,-47.41544428007784,5.784448333292225
25,"Rua Moacir Barros Mugnaine, 238-294",-22.6126738,-47.4166717,5.677218312356281
26,"Rua Doutor José Da Silva Teixeira, 100-148",-22.6064968,-47.4178641,4.982948370981721
27,"Rua Vereador Osvaldo Ferreira Dos Santos, 124",-22.607561470434163,-47.419420449529646,5.081960223327477
28,"Rua Vereador Osvaldo Ferreira Dos Santos, 316",-22.606796384255137,-47.421116291931774,4.9835776163790815
29,"Avenida Doutor Lauro Corrêa Da Silva, 928-994 (Rapidão)",-22.608061522865924,-47.422194693893786,5.1177804809868634
30,"Rua Pedro Joaquim De Menezes, 336",-22.6132786,-47.4266628,5.69715526383039
31,"Rua Madre Maria Villac, 246",-22.614771,-47.4222574,5.860040459319926
32,Ponto Final,-22.61001261014933,-47.42261657075821,5.332190939524774
