num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Ponto Final Lagoa Nova,-22.61669789085583,-47.41288370093281,6.18024368933063
2,"Avenida Doutor Antônio De Luna, 483-591",-22.6003939,-47.417338,4.3222689132092
3,"Rua Gilson Cesar Massola, 2533-2595",-22.6214046,-47.4121508,6.706373039241913
4,"Rua Gilson Cesar Massola, 2411-2471",-22.6214046,-47.4121508,6.706373039241913
5,"Rua Augusto Antônio Coeli Geraldello, 505",-22.6176441,-47.4091478,6.365420367708971
6,"Rua Augusto Antônio Coeli Geraldello, 301-363",-22.6176441,-47.4091478,6.365420367708971
7,"Rua Augusto Antônio Coeli Geraldello, 191-245",-22.6176441,-47.4091478,6.365420367708971
8,"Rua Augusto Guilherme Tolle, 41",-22.6171021,-47.4110511,6.262121451207719
9,"Rua Sebastiao Camargo, 431",-22.6184255,-47.412006,6.385327385007627
10,"Rua Sebastiao Camargo, 79",-22.6184255,-47.412006,6.385327385007627
11,"Rua Lauro Camargo Silveira, 1293-1337",-22.61236352073077,-47.41462729158096,5.675767996483034
12,"Rua Lauro Camargo Silveira, 1053-1117",-22.6101928586952,-47.415074032082906,5.431071029317153
13,"Rua Lauro Camargo Silveira, 789-853",-22.606186414376424,-47.41626583827723,4.973114669499718
14,"Rua Antônio Franzini, 194-232",-22.606176,-47.4162442,4.972341703995069
15,"Rua Doutor José Da Silva Teixeira, 100-148",-22.6064968,-47.4178641,4.982948370981721
16,"Rua Vereador Osvaldo Ferreira Dos Santos, 124",-22.60757115649052,-47.41940582018568,5.083172955903188
17,"Rua Vereador Osvaldo Ferreira Dos Santos, 316",-22.606820532311335,-47.421080733146525,4.986478824455954
18,"Rua Dorival Faver, 322-360 (Rapidão)",-22.604347778890425,-47.42374419120848,4.702663301273986
19,"Rua Ismail Sperancin, 234-258",-22.6017122,-47.428618,4.43412975595573
20,"Rua Ismail Sperancin, 675",-22.6017122,-47.428618,4.43412975595573
21,"Rua Ismail Sperancin, 976",-22.6017122,-47.428618,4.43412975595573
22,Avenida Antônio Martins,-22.5961723,-47.4329895,3.903668978519806
23,Avenida Antônio Martins,-22.5961723,-47.4329895,3.903668978519806
24,"Rua Irmã Glória Belzário, 640",-22.5943283,-47.4339826,3.731628460348786
25,"Rua Dom Tarcísio Ariovaldo Do Amaral, 1070 (Rapidão)",-22.592138440668677,-47.43093496177005,3.4216486621511075
26,"Rua Dom Tarcísio Ariovaldo Do Amaral, 1422-1460",-22.5955059,-47.4224968,3.727338221239133
27,"Rua Octávio Ribeiro, 419-475",-22.5859055,-47.4342991,2.8564613304645574
28,"Rua Octávio Ribeiro, 297-351",-22.5859055,-47.4342991,2.8564613304645574
29,"Rua Octávio Ribeiro, 89 (Rapidão)",-22.586489535195685,-47.43450511048656,2.924411964089195
30,"Avenida Nelson Aparecido Do Nascimento, 281",-22.5900616,-47.4303408,3.184075530358784
31,"Avenida Nelson Aparecido Do Nascimento, 1",-22.5900616,-47.4303408,3.184075530358784
32,"Avenida Nelson Aparecido Nascimento, 1515-1605",-22.5900616,-47.4303408,3.184075530358784
33,"Avenida Um A, 1387",-22.59109158177076,-47.42832792910649,3.262475256373599
34,"Avenida Nelson Aparecido Nascimento, 1183",-22.5900616,-47.4303408,3.184075530358784
35,"Avenida Um A, 905",-22.590121094170655,-47.43039125418448,3.1915666374725893
36,"Avenida Armando Pachêco Barros, 260",-22.5910893,-47.4220697,3.2415044952122525
37,"Rua Guido Orsi, 1053",-22.585619,-47.419687,2.668773763199886
38,"Rua Guido Orsi, 757",-22.585619,-47.419687,2.668773763199886
39,"Rua Guido Orsi, 321-361",-22.585619,-47.419687,2.668773763199886
40,"Rua Guido Orsi, 205",-22.585619,-47.419687,2.668773763199886
41,"Rua Guido Orsi, 43",-22.585619,-47.419687,2.668773763199886
42,"Avenida Eduardo Peixoto, 1130-1226",-22.5834082,-47.4106904,2.757997315415881
43,"Avenida Comendador Agostinho Prada, 1679-1961",-22.5727179,-47.4118151,1.748409641219744
44,"Avenida Comendador Agostinho Prada, 1148-1218",-22.5783325,-47.420345,1.8637875295950024
45,"Avenida Comendador Agostinho Prada, 156-216",-22.5727179,-47.4118151,1.748409641219744
46,Rua Carlos Gomes 1321-1385,-22.5670351,-47.4044543,2.1075279136171754
47,"Rua Carlos Gomes, 989",-22.5670351,-47.4044543,2.1075279136171754
48,Museu Major José Levy Sobrinho B/C (Rapidão),-22.565482060847764,-47.40206587155135,2.309149903218527
49,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
