imob,imovel_url,codigo,nome,bairro,aluguel,condominio,area,quartos,banheiros,vaga_garagem,descricao,tipo_imov
c7234506476bbf0aff48eda764ff9eba,b823e53699bf2a9165aa40c0c4ed21a6,47a266070612202510b1dda757bd03e1,43dc77a7a63ce0a8eae7b04be364d2e9, CHACARA ANTONIETA,"R$1.000,00","

                    + Condomínio R$219,78 i
Valores sujeitos a alteração.

+ IPTU R$30,55
",70      M2,2,1,1,"Apartamento no bairro Chacara Antonieta contendo 02 dormitórios, sala com sacasa, cozinha banheiro, lavanderia e vaga para 01 carro.
70      M2
TERREO ANDAR TERREO
2       QUARTOS
1       SALA COM SACADA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE",apto
c7234506476bbf0aff48eda764ff9eba,3e3b84a7a1292a0e34c206899e253e01,c30dc1232b74da53fdf12534921ec21d,43dc77a7a63ce0a8eae7b04be364d2e9, CHACARA ANTONIETA,"R$650,00","

                    + Condomínio R$230,00 i
Valores sujeitos a alteração.

+ IPTU R$22,70
",48      M2,2,1,1,"Com localização próxima à Unicamp (FCA), este apartamento no 1º andar do Condomínio Imperial possui 02 dormitórios, sala, cozinha, banheiro, lavanderia e vaga para 01 carro.
48      M2
1º      ANDAR
2       QUARTOS
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE
FAXINA EXTERNA
BICICLETÁRIO",apto
c7234506476bbf0aff48eda764ff9eba,a2f885c9aaed3fb5266457bb774745dd,1faca62d62e45809840336e864c501d3,43dc77a7a63ce0a8eae7b04be364d2e9, CHACARA ANTONIETA,"R$650,00","

                    + Condomínio R$230,00 i
Valores sujeitos a alteração.

+ IPTU R$22,70
",48      M2,2,1,1,"Com localização próxima à Unicamp (FCA), este apartamento no 2º andar do Condomínio Imperial possui 02 dormitórios, sala, cozinha, banheiro, lavanderia e vaga para 01 carro.
48      M2
2º      ANDAR
2       QUARTOS
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE
FAXINA EXTERNA
BICICLETÁRIO",apto
c7234506476bbf0aff48eda764ff9eba,fa4a50b186a41bdf6a33b6d435e6a922,649bab7a6b00fddd621b7b5a47224e14,43dc77a7a63ce0a8eae7b04be364d2e9, CHACARA ANTONIETA,"R$650,00","

                    + Condomínio R$230,00 i
Valores sujeitos a alteração.

+ IPTU R$22,70
",48      M2,2,1,1,"Com localização próxima à Unicamp (FCA), este apartamento no 3º andar do Condomínio Imperial possui 02 dormitórios, sala, cozinha, banheiro, lavanderia e vaga para 01 carro.
48      M2
3º      ANDAR
2       QUARTOS
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE
FAXINA EXTERNA
BICICLETÁRIO",apto
c7234506476bbf0aff48eda764ff9eba,58d8840272b5be4fcf2d7cfa1914e39e,4cc7d4741c002710a0ec42f1a3a6443e,43dc77a7a63ce0a8eae7b04be364d2e9, CHACARA ANTONIETA,"R$950,00","

                    + Condomínio R$291,25 i
Valores sujeitos a alteração.

+ IPTU R$31,00
",74      M2,2,1,1,"Apartamento localizado no 2º andar do condomínio Spazio Firenze com 02 dormitórios, sala, cozinha planejada, banheiro, lavanderia com armário e 01 vaga para carro, além da ótima localização o condomínio conta também com piscina, salão de festas e academia.
74      M2
2º      ANDAR
2       QUARTOS
1       SALA
1       COZINHA PLANEJADA
1       BANHEIRO
1       LAVANDERIA COM ARMÁRIO
1       ÁREA DE SERVIÇO
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE

PISCINA
ACADEMIA
SALÃO DE FESTAS C/CHURRASQUEIRA",apto
c7234506476bbf0aff48eda764ff9eba,27e664e2b043dd1c0ef03d3ab4c9c73e,5513e1e736b58cf17409e13028348540,43dc77a7a63ce0a8eae7b04be364d2e9, CIDADE UNIVERSITARIA,"R$1.050,00","

                    + Condomínio R$200,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",69      M2,2,1,1,"Este apartamento de 69m² fica localizado na Cidade Universitária, pertinho da Univamp (FCA) e conta com 02 dormitórios, sala com sacada, cozinha com lavanderia integrada, banheiro e vaga para 01 carro.
69      M2
1º      ANDAR
2       QUARTOS
1       SALA COM SACADA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERAMICO
TETO LAJE",apto
c7234506476bbf0aff48eda764ff9eba,320936a5606ff7ec6496220f19e663bd,1abe6d2fdcdf8f5c16ba9c9e6e4ea74d,43dc77a7a63ce0a8eae7b04be364d2e9, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$200,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",69      M2,2,1,1,"Este apartamento de 69m² fica localizado na Cidade Universitária, pertinho da Univamp (FCA) e conta com 02 dormitórios, sala com sacada, cozinha com lavanderia integrada, banheiro e vaga para 01 carro.
69      M2
2       QUARTOS
1       SALA COM SACADA
1       COZINHA COM LAVANDERIA INTEGRADA
1       BANHEIRO
1       VAGA PARA CARRO
PISO CERAMICO
TETO LAJE",apto
c7234506476bbf0aff48eda764ff9eba,29ace84f1bc6a08a63e00e54c304a942,c69c62dc38d0ae6e4c52a0cc96b78b10,43dc77a7a63ce0a8eae7b04be364d2e9, CHACARA ANTONIETA,"R$1.100,00","

                    + Condomínio R$274,17 i
Valores sujeitos a alteração.

+ IPTU R$32,50
",65      M2,2,1,1,"Apartamento localizado no 1º andar do Residencial Mosaico, contendo 02 dormitórios, sala com sacada, cozinha com armário, lavanderia integrada, banheiro e 01 vaga para carro, além da área de lazer com piscina e salão de festas.
65      M2
1º      ANDAR
2       QUARTOS
1       SALA COM SACADA
1       COZINHA COM ARMÁRIO
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERAMICO
TETO LAJE
SALÃO DE FESTAS
PISCINA",apto
c7234506476bbf0aff48eda764ff9eba,4584fb707e421fc0634cef8f9be11254,b0adae4841fa14e7ecc1e27b2444c755,43dc77a7a63ce0a8eae7b04be364d2e9, CIDADE UNIVERSITARIA,"R$900,00","

                    + Condomínio R$150,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",,2,1,1,"02 quartos, sala com sacada, cozinha com gabinete, banheiro com box e gabinete e lavanderia

63      M2
2       QUARTOS
1       SALA COM SACADA
1       COZINHA
1       BANHEIRO COM BOX
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE",apto
c7234506476bbf0aff48eda764ff9eba,18963d5ab03f7766ac46339c62e1e50e,9015ae8f5752ae92b423e96edb96ae3b,43dc77a7a63ce0a8eae7b04be364d2e9, CHACARA ANTONIETA,"R$950,00","

                    + Condomínio R$308,91 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",1º      ANDAR,2,1,1,"Apartamento localizado no bairro Chácara Antonieta contendo 02 quartos, sala, cozinha, banheiro, lavanderia e vaga para 01 carro.
1º      ANDAR
65      M2
2       QUARTOS
1       SALA
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
1       VAGA PARA CARRO
PISO CERÂMICO
TETO LAJE",apto
