num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Mega,-22.566670741636795,-47.380531763676125,4.520440193345598
2,"Rua Placidina Ferreira Braga, 164  (Rapidão)",-22.571666786289722,-47.37772191802971,4.899435242120185
3,"Rua Placidina Ferreira Braga, 420",-22.57030162736904,-47.375661077712905,5.076453721291703
4,"Rua Doutor Ademar Pereira De Barros, 1102",-22.5763309,-47.3720528,5.594744846673886
5,"Rua Moisés Paulino Da Cunha, 327",-22.56592571984985,-47.37616041482262,4.959090773897869
6,"Rua Moisés Caram, 1-63",-22.5642007,-47.376701,4.890014970824596
7,"Rua Joaquim Bernardo, 231",-22.5637326,-47.377864,4.768070363796198
8,"Rua General Rondon, 2510",-22.5576152,-47.3703737,5.554312947147592
9,"Rua General Rondon, 3364-3574",-22.5576152,-47.3703737,5.554312947147592
10,"Avenida Doutor Hipólito Pinto Ribeiro, 773-775",-22.5576152,-47.3703737,5.554312947147592
11,"Avenida Doutor Hipólito Pinto Ribeiro, 623-625",-22.5576152,-47.3703737,5.554312947147592
12,"Rua Marquês Guilherme Marcone, 583",-22.5601801,-47.3790637,4.644171940063784
13,"Rua Marquês Guilherme Marcone, 309-387",-22.5570121,-47.3771631,4.865866485504689
14,"Rua Marquês Guilherme Marcone, 13",-22.5601801,-47.3790637,4.644171940063784
15,"Rua Manoel Queirós, 22-144",-22.560838624818114,-47.37996745884866,4.548848530340221
16,"Rua General Rondon, 1026-1116",-22.5576152,-47.3703737,5.554312947147592
17,"Rua Luiz Tank, 312",-22.560731,-47.3850499,4.026667951597568
18,"Rua Américo Graciati, 2-52",-22.5637584,-47.3842017,4.117079075411615
19,"Rua Américo Graciati, 260",-22.5637584,-47.3842017,4.117079075411615
20,"Rua Antônio Rossi, 485",-22.5623634,-47.3856978,3.9583426559657915
21,"Rua José Forster, 175",-22.5623163,-47.3865934,3.8661709301367857
22,"Rua José Forster, 55",-22.5623163,-47.3865934,3.8661709301367857
23,"Rua General Rondon, 751",-22.5576152,-47.3703737,5.554312947147592
24,"Rua General Rondon, 491",-22.5576152,-47.3703737,5.554312947147592
25,"Rua General Rondon, 279",-22.5576152,-47.3703737,5.554312947147592
26,"Rua Vinte E Cinco De Março, 219-267",-22.561553,-47.3970053,2.795253777202281
27,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
