index,imob,codigo,bairro,aluguel,condominio,area,quartos,banheiros,vaga_garagem,descricao,total,preco_m2,dist_unicamp
67,B,af6492af6c80fea75bafc9c5d3464970,JD. Cidade Universitária I,700.0,0.0,,1,1,0.0,"Apto com micro-ondas geladeira e fogão elétrico, banheiro com box, cozinha com gabinete, sala e quarto conjugados, cerca elétrica, interfone, ponto para internet.",700.0,,1.3854276880650611
11,C,17e432c6fd9c0be3a2cbf043f3bd8387,JD. Cidade Universitária I,750.0,0.0,,1,1,0.0,"Kitinet localizada na Cidade Universitária próximo a Unicamp (FCA) contendo 01 quarto e cozinha conjugados, banheiro e lavanderia, imóvel também possui cama e micro-ondas.
1       QUARTO CONJUGADO COM COZINHA
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE E GESSO",750.0,,1.3854276880650611
64,B,4ea828c758c2c3ad996f717c4ea91ed5,JD. Cidade Universitária I,780.0,0.0,50.0,1,1,0.0,"Kitnet com cozinha e sala conjugadas, um dormitório e banheiro.",780.0,15.6,1.3854276880650611
65,B,907f7fdcc12a82eadaec78ffa35e4708,JD. São Paulo,780.0,0.0,50.0,1,1,0.0,"Kitnet com 01 dormitório, 01 banheiro.",780.0,15.6,
61,B,ccbc8c34f1aafff2ded08a18d8826c6f,JD. Cidade Universitária I,800.0,0.0,250.0,1,1,0.0,"Ótimo apartamento na Cidade Universitária com um dormitório com armários, banheiro social com gabinete e box de blindex, sala, cozinha com armários, geladeira, microondas, cooktop e área de serviço comum.  O locatário ficará isento do consumo de água até 10 m³ mensal e faxina semanal na área comum.",800.0,3.2,1.3854276880650611
62,B,decee23146cd497fccdaa119dd7f51b8,JD. Cidade Universitária I,800.0,0.0,,1,1,0.0,"Ótimo apartamento na Cidade Universitária com um dormitório com armários, banheiro social com gabinete e box, sala, cozinha com armários, geladeira, microondas, cooktop e área de serviço comum.  O locatário ficará isento do consumo de água (até 10 m³ mensal) e faxina semanal na área comum.",800.0,,1.3854276880650611
63,B,c18e0e8dc2d9c9e19e50d86b8903cfa7,JD. Cidade Universitária I,800.0,0.0,,1,1,0.0,Ótimo apartamento na Cidade Universitária com um dormitório com armários banheiro social com gabinete e box de blindex cozinha com armários geladeira microondas cooktop e área de serviço comum. Uma vaga de garagem.  O locatário ficará isento do consumo de água até 10 m³ mensal e faxina semanal na área comum.,800.0,,1.3854276880650611
5,C,660f29bab4766650b9e3e62aae4f6730,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,"Kitinet próximo à Unicamp (FCA) sendo 01 quarto e cozinha conjugados, banheiro e área de serviço. O imóvel  possui: geladeira, cama, colchão, cortina black out, fogão, armário e conta também com cerca elétrica, interfone, cameras de monitoramento além de ter incluso em seu aluguel as despesas de água, energia e iptu.
1       QUARTO CONJUGADO
1       COZINHA CONJUGADO
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE",850.0,,1.3854276880650611
57,B,d1f942def322fc204b6be20838e7d044,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,Kitnet localizada na Cidade Universitária próximo a Unicamp.,850.0,,1.3854276880650611
58,B,97bcff626e416e4682240b08bfe240e9,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,"Kitnet no bairro Universitário, próximo a Unicamp.",850.0,,1.3854276880650611
59,B,3efb8f5900d5b5dff557d6857681338a,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,Kitnet localizada na Cidade Universitária próximo a Unicamp.,850.0,,1.3854276880650611
60,B,c3ff9f70c3bdd79c59d6a641c3d2eabc,JD. Cidade Universitária I,850.0,0.0,,1,1,0.0,Kitnet localizada na Cidade Universitária próximo a Unicamp.,850.0,,1.3854276880650611
75,A,13a10985cb92f1112ce6894b29a575e7,Chácara Antonieta,850.0,0.0,30.0,1,1,0.0,"CAMA,  GUARDA-ROUPA, GELADEIRA, BANCADA, TANQUE, VENTILADOR DE TETO.INCLUSO NO CONDOMINIO: AGUA, ENERGIA, LIMPEZA EXTERNA, INTERNET.1 VAGA DE GARAGEM.",850.0,28.333333333333332,1.5023394363777396
76,A,a92a6e35acca298c33b9d2c83bde3505,Chácara Antonieta,850.0,0.0,30.0,1,1,1.0,"CAMA,  GUARDA-ROUPA, GELADEIRA, BANCADA, TANQUE, VENTILADOR DE TETO.INCLUSO NO CONDOMINIO: AGUA, ENERGIA, LIMPEZA EXTERNA, INTERNET.1 VAGA DE GARAGEM.",850.0,28.333333333333332,1.5023394363777396
77,A,4b4adce0a87af0846fda6bdbe38d670a,JD. Cidade Universitária I,950.0,0.0,,1,1,0.0,"KITNET CONTENDO FOGÃO, GELADEIRA, ARMÁRIO EMBUTIDO NA COZINHA E DORMITÓRIO,PAINEL NA SALA E VENTILADOR NO TETO.01 VAGA DE GARAGEM POR APARTAMENTO, PORTÃO AUTOMÁTICO, ELEVADOR E CERCA ELÉTRICA.AGUA E CONDOMÍNIO JÁ INCLUSO NO VALOR DO ALUGUEL.ENERGIA É A PARTE.",950.0,,1.3854276880650611
