bairro,lat,lon,dist
vila anita,-22.556810220964927,-47.410568487120784,1.5085591358896104
vila santa rosalia,-22.57623211919229,-47.406309958879994,2.429567576693184
Centro,-22.565492000000006,-47.4037983,2.1340722502318887
Chácara Antonieta,-22.55533830000001,-47.43697531079546,1.5023394363777396
Jardim Maria Flora,-22.5833573,-47.4001156,3.432217965133588
Jardim Mediterrâneo,-22.5756418,-47.4127145,1.926652612166394
Jardim Mercedes,-22.5701692,-47.4034094,2.3250039106887206
Vila Cláudia,-22.5824871,-47.4017282,3.2461876148447835
Vila Cristovam,-22.5745619,-47.40434060000001,2.4768533310046124
Vila Santa Lina,-22.5751276,-47.4010973,2.7905403548389547
