bairro,lat,lon,dist
jardim aquarius,-22.550608190589706,-47.41667575205869,1.4679267685646296
parque centreville,-22.55158046365832,-47.42222150033637,1.1585671147178909
parque sao bento,-22.552056052471706,-47.418032958392956,1.2586137635281498
vila mathias,-22.56089938985804,-47.41035742731719,1.425912587396914
vila sao joao,-22.56340305814457,-47.41099287617915,1.366777555616648
jardim nossa sra. de fatima,-22.56550370773466,-47.42649966240123,0.4664970383439031
jardim santa fe,-22.565597998868245,-47.42269729428588,0.4387502563220096
cidade universitaria,-22.553112082481267,-47.4337859195601,1.3854276880650611
jardim perola,-22.563011669111834,-47.43823717661766,1.4510892170920944
jardim esmeralda,-22.564260676816343,-47.43553231131549,1.1968143935916402
jardim morro azul,-22.5584169798876,-47.430454105003,0.7507639025607419
jardim paulista,-22.558299143228318,-47.42619275210369,0.4476004851487637
jardim nova italia,-22.559177655613762,-47.421761267052034,0.3894780602545607
Jardim Nossa Senhora do Amparo,-22.5686177,-47.4187495,0.931768179744294
Jardim Santa Cecília,-22.5715651,-47.4142541,1.4804744532135732
Vila Santa Josefa,-22.5668295,-47.41737620000001,0.8887067201319007
vila anita,-22.556810220964927,-47.410568487120784,1.5085591358896104
vila santa rosalia,-22.57623211919229,-47.406309958879994,2.429567576693184
Centro,-22.56549200000001,-47.4037983,2.1340722502318887
Chácara Antonieta,-22.55533830000001,-47.43697531079546,1.5023394363777396
Jardim Maria Flora,-22.5833573,-47.4001156,3.432217965133588
Jardim Mediterrâneo,-22.5756418,-47.4127145,1.926652612166394
Jardim Mercedes,-22.5701692,-47.4034094,2.3250039106887206
Vila Cláudia,-22.5824871,-47.4017282,3.2461876148447835
Vila Cristovam,-22.5745619,-47.40434060000001,2.4768533310046124
Vila Santa Lina,-22.575127600000002,-47.401097299999996,2.7905403548389547
